Content,Sentiment,Sentiment_Class
Maria Skłodowska-Curie according to Google's Gemini AI,0.0,neutral
Google Gemini AI-image generator refuses to generate images of white people and purposefully alters history to fake diversity,-0.25,negative
I use GoogleGeminiAI,0.0,neutral
[D] Is Google Gemini the real deal or a publicity stunt?,0.2,positive
outjerked by woke google gemini ai,0.0,neutral
Google suspends Gemini from making AI images of people after a backlash complaining it was 'woke',0.0,neutral
"Google apologizes after new Gemini AI refuses to show pictures, achievements of White people",0.06818181818181818,positive
Google Gemini AI image generator reminded me of BFV 🤣,0.0,neutral
Not surprising but Google's Gemini AI has a pro-Israel bias,-0.35,negative
Google’s Gemini assistant is a fantastic and frustrating glimpse of the AI future,0.0,neutral
Google admits that a Gemini AI demo video was staged,0.0,neutral
100% Honest Take on Google Gemini,0.6,positive
This is the Head of Google's Gemini AI Technology,0.0,neutral
Google/Alphabet will release Gemini AI later this year. Probably way more powerful than GPT-4. Time to buy?,0.26666666666666666,positive
"Google's Gemini AI: I Can't Say Pedophilia is ""Wrong."" It's a ""Nuanced"" Question.",-0.5,negative
Google's Gemini AI Demo was Partly Fabricated,0.0,neutral
Using Google's Gemini-AI with GoLang,0.0,neutral
"Google apologizes after new Gemini AI refuses to show pictures, achievements of White people",0.06818181818181818,positive
Google's Gemini AI is dumb,-0.375,negative
Google rebrands Bard AI to Gemini and launches a new app and subscription,0.13636363636363635,positive
Google's Gemini is so powerful that OpenAI probably won't release GPT-5 until late 2025,0.0,neutral
[Paywall] Google Nears Release of Gemini AI to Challenge OpenAI,0.0,neutral
Finding Ways to Access Google's Gemini: My Thoughts,0.0,neutral
Is Google's Gemini Pro AI model available in your country? [OC],0.4,positive
I took Gemini Pro and Pro Vision for a spin in the Google AI Studio,0.0,neutral
Google drops Gemini to end ChatGPT's reign. Who will win this AI-war?,0.8,positive
Images I generated using Google Gemini AI,0.0,neutral
The Verge: Google’s Gemini AI now has a new app and works across Google products.,0.13636363636363635,positive
"Yugoslav flag, according to Google's Gemini AI",0.0,neutral
"Gemini app brings Google AI to Android and iPhone, rolling out now",0.0,neutral
"Google's AI chatbot Gemini makes 'diverse' images of founding fathers, popes and vikings: 'So woke it's unusable'",0.0,neutral
Gemini AI,0.0,neutral
Google admits the Gemini AI demo hands-on video was staged,0.0,neutral
Google pauses Gemini’s ability to generate AI images of people after diversity errors,0.0,neutral
"SHOCK: Google AI ""Gemini"" REFUSES To Make Images Of White People ... This Is DIGITAL GENOCIDE",0.0,neutral
What do you think about new Google Gemini?,0.13636363636363635,positive
google gemini text to image ai meme,0.0,neutral
Gemini AI is so bad 🤣 Can't send texts either,-0.6999999999999998,negative
La GenAI Gemini de Google prise au piège de la diversité,0.0,neutral
(The Information) Briefing: Google Preps Public Preview of Gemini AI After Postponing In-Person Events,0.0,neutral
Google Gemini AI: Everything We Know So Far Google Gemini AI: Everything We Know,0.1,positive
Google admits that a Gemini AI demo video was staged,0.0,neutral
Google’s Gemini AI model is coming to the Pixel 8 Pro — and eventually to Android,0.0,neutral
Google Gemini Ai,0.0,neutral
Personal theory on why Google’s Gemini is producing biased images,0.0,neutral
"Google launches Gemini, the AI model it hopes will take down GPT-4",-0.15555555555555559,negative
Google Gemini Multimodal demo is incredible,0.9,positive
Google Gemini AI Image Generator,0.0,neutral
Introducing Gemini: our largest and most capable AI model,0.35,positive
Google Gemini AI questions about racism.,0.0,neutral
Gemini Advanced (paid version of Google new AI model Gemini) is totally useless for programming. Can't answer any of my real life programming questions. GPT-4 works as expected.,0.027272727272727275,positive
Google Gemini AI,0.0,neutral
Google Gemini AI,0.0,neutral
Build amazing AI projects with Google’s Gemini models and Python,0.6000000000000001,positive
"Google launches its largest and ‘most capable’ AI model, Gemini",0.35,positive
Google just released their latest AI model “Gemini” and it’s mind-blowing! 🤯🤯🤯,0.625,positive
https://blog.google/technology/ai/google-gemini-ai/,0.0,neutral
Google Gemini,0.0,neutral
An AI talks about Google Gemini AI's Diversity Drama..,0.0,neutral
Finding Ways to Access Google's Gemini in Europe: My Thoughts,0.0,neutral
https://blog.google/technology/ai/google-gemini-ai/,0.0,neutral
A.I. Generated Tron images - Google Gemini,0.0,neutral
An AI Talks about Google's Gemini AI Diversity Drama...,0.0,neutral
"(Ugh) Introducing Gemini 1.5, Google's next-generation AI model",0.0,neutral
Google Gemini AI: How to Use Gemini AI with Bard Chatbot (vs GPT4),0.0,neutral
Integrating Google's Gemini AI Model into R,0.0,neutral
Google's Gemini AI is already closing in on Microsoft-backed ChatGPT,0.0,neutral
Google's Gemini Enters the AI Arena: Ready to Take on OpenAI?,0.2,positive
"Gemini rolling out to Gmail, Docs, and more with Google One AI Premium",0.5,positive
"‎Gemini Advanced - get access to Google’s most capable AI model, Ultra 1.0",0.3666666666666667,positive
Gemini AI (google's AI) seems to hate Mormons,-0.8,negative
Should I use Google Gemini or GPT? Which one is better?,0.5,positive
Google Gemini AI API | Vertex AI,0.0,neutral
Gemini Advanced is shockingly the worst AI I've ever seen in my life.,-0.5333333333333333,negative
Google's Gemini AI: A New Dawn in Conversational AI,0.13636363636363635,positive
Generative AI PHP Client library (for Google's Gemini Pro),0.0,neutral
Google's Gemini AI wows,0.0,neutral
Share your thoughts on Google's new Gemini AI,0.13636363636363635,positive
Google's Gemini AI Drama is Diversity Gone Mad...,-0.625,negative
New Gemini AI replacing Google assistant,0.13636363636363635,positive
How to Use Google Gemini AI in Bard - Google Gemini Tutorial,0.0,neutral
Gemini Advanced (paid version of Google new AI model Gemini) is totally useless for programming. Can't answer any of my real life programming questions. GPT-4 works as expected.,0.027272727272727275,positive
What is Google's Gemini AI?,0.0,neutral
realistically what can we expect from google gemini and Deepmind?,0.0,neutral
How to Use Google Gemini AI in Bard - Google Gemini Tutorial,0.0,neutral
"DEMO: Google's new multi-modal AI called ""Gemini""",0.13636363636363635,positive
Even Googles Gemini AI knows Obama is the Shadow President.,0.0,neutral
Google’s Gemini AI model is coming to the Pixel 8 Pro — and eventually to Android,0.0,neutral
What are some alternatives to Google's Gemini AI?,0.0,neutral
"Gemini, Google's AI, suggested this prompt. I found it wholesome considering everything that's happening.",0.0,neutral
Google Admits Gemini AI Demo Was at Least Partially Faked,-0.2,negative
"Google Gemini MultiModal Demo. this is INCREDIBLE, especially as it progresses",0.45,positive
Telegram bot to chat with Google Gemini AI chatbot,0.0,neutral
Gemini ai vs assistant for google lens,0.0,neutral
This is the Head of Google's Gemini AI Technology,0.0,neutral
Google debuts Gemini AI for enterprise tools,0.0,neutral
Googles GEMINI AI: Full Breakdown + Technical Report,0.175,positive
Google One family plan owner upgraded - but no Gemini Advanced features usable yet,0.4,positive
Telegram bot to chat with Google Gemini AI chatbot,0.0,neutral
Google Launches Gemini AI - World's 1st Multimodal AI,0.0,neutral
Google Gemini AI Powerhouse Performance vs ChatGPT,0.0,neutral
Google's Gemini is all set to be it's first candidate for AGI.,0.25,positive
Telegram bot to chat with Google Gemini AI chatbot,0.0,neutral
"Brian Roemmele: ""I have been testing a version of Google’s Gemini and find it very interesting. It is equivalent to ChatGPT-4 but with newly up to the second knowledge base. """,-0.003409090909090917,negative
Community debates Google's Gemini AI vs OpenAI's GPT-4 #News #Google #AI #Grafa,0.0,neutral
Google Launches Gemini AI - World's 1st Multimodal AI,0.0,neutral
Google's Gemini AI: The Universal AI Competing with ChatGPT,0.0,neutral
Google's New AI Gemini Outperforms GPT-4 and Human Experts Across 57 Subjects | AI Tech Report,0.06818181818181818,positive
How to Use Google Gemini AI in Bard - Gemini Tutorial,0.0,neutral
Is anyone else very disappointed with Google's Gemini?,-0.9750000000000001,negative
How to Use Google Gemini AI in Bard - Gemini Tutorial,0.0,neutral
Gemini: Google’s newest and most capable AI model,0.35,positive
I Developed Telegram bot to chat with Google Gemini AI chatbot,0.1,positive
Google's Gemini AI: Bringing 'Her' & 'JARVIS' To Life?,0.0,neutral
All Know About to Google Gemini AI,0.0,neutral
Google's project Gemini. How good could it be?,0.7,positive
Swift WinRT & WinUI 3 Google Gemini AI Chat App Short Demo | Google Generative AI,0.0,neutral
"Google just released Gemini 🧠, available in Vertex AI starting December 13",0.2,positive
Google's Gemini AI Demo Accused of Being ‘Fake’,-0.5,negative
Google says its Gemini AI outperforms both GPT-4 and expert humans,0.0,neutral
Swift WinRT & WinUI 3 Google Gemini AI Chat App Short Demo | Google Generative AI,0.0,neutral
Gemini Advanced (paid version of Google new AI model Gemini) is totally useless for programming. Can't answer any of my real life programming questions. GPT-4 works as expected.,0.027272727272727275,positive
"Google has quietly pushed back the launch of next-gen AI model Gemini until next year, report says",0.0,neutral
Should I use Google Gemini or GPT? Which one is better?,0.5,positive
Inaccuracies Force Google Gemini AI Suspend Generation of Images of People,0.0,neutral
Know every thing about Google Gemini Ai .,0.0,neutral
"Google's next-generation AI model ""Gemini"" to launch this fall",0.0,neutral
Google Gemini AI Will Change Stock Trading Forever,0.0,neutral
"Google HATES WHITE PEOPLE, New Google Gemini AI REFUSES To Make Pictures Of White People",0.04545454545454545,positive
"lmao Google's Gemini AI refuses to generate white people, I mean, here is what I get when I try and generate Destiny",0.09583333333333333,positive
Google's Gemini AI Blasted For Eliminating White People From Image Searches,-0.3,negative
What is Google Gemini and its future? Why should we know about it?,0.0,neutral
Social Media Joyride with ChatGPT & Google Gemini AI (Bard),0.03333333333333333,positive
"With a 155 IQ, GPT-4 is smart enough. Gemini must reduce hallucinations from about 10% to 5% or less.",0.015873015873015872,positive
Google admits that a Gemini AI demo video was staged,0.0,neutral
"Google weighs Gemini AI project to tell people their life story using phone data, photos",0.0,neutral
"Ahaapple has supported Google Gemini Ai model, which is free",0.4,positive
Adapting a Web App for Multi-Modal Generative AI - like Google Gemini to Allow Copy-Pasting of API Key,0.0,neutral
How Google's Gemini AI model got its name,0.0,neutral
Google Launches AI Model Gemini,0.0,neutral
Online critics say Google's Gemini AI tech demo is 'fake' #News #Google #AI #Tech #ASIC,-0.5,negative
"Meet Gemini 1.5, Google's newest AI model with major upgrades from its predecessor",0.0625,positive
Social Media Joyride with ChatGPT & Google Gemini AI (Bard),0.03333333333333333,positive
Is the Gemini AI coming to the 8s as well as the 8 Pros?,0.0,neutral
"Gemini rolling out to Gmail, Docs, and more with Google One AI Premium",0.5,positive
"SHOCK: Google AI ""Gemini"" REFUSES To Make Images Of White People ... This Is DIGITAL GENOCIDE",0.0,neutral
Google's Gemini Advanced: Redefining Premium AI Services for NASDAQ:GOOGL by DEXWireNews,0.4,positive
Google Faked Gemini AI Demo,0.0,neutral
Get EARLY ACCESS to Gemini AI (Outperformed ChatGPT),0.1,positive
Google's Gemini AI - Is It the real breakthrough,0.2,positive
Gemini AI on iOS,0.0,neutral
"I asked the new Google Gemini AI to give me an image of Two from TPOT, and this is what it gave me:",0.13636363636363635,positive
Google Launches Gemini AI - World's 1st Multimodal AI,0.0,neutral
"Capabilities of Google's new AI Gemini, able to understand seamlessly across text, images, video, audio and code",0.24545454545454545,positive
i made a video about this new Google Gemini Ai.its 1 minute and with some funny edits.If you are interested.,0.21212121212121213,positive
Google Gemini AI: Ein Neuer Stern am KI-Himmel,0.0,neutral
Learning and playing with Gemini: A glimpse into the future of AI,0.0,neutral
"‎Gemini Advanced - get access to Google’s most capable AI model, Ultra 1.0",0.3666666666666667,positive
Google $GOOG just dropped a major AI bomb: Meet Gemini!,0.078125,positive
What is Google AI Gemini?,0.0,neutral
I asked Googles Gemini AI What’s the origin of COVID-19? It gave me 2 possibilities.,0.0,neutral
Will Google's Gemini also be able to generate videos?,0.5,positive
"Unveiling the Truth Behind the ""Google Gemini AI Fake"" Controversy",-0.45,negative
Google New AI Gemini 1.5 – What’s the Big Deal?,0.06818181818181818,positive
"Unveiling the Truth Behind the ""Google Gemini AI Fake"" Controversy",-0.45,negative
Google’s Gemini AI unveiled and here is what you need to know,0.0,neutral
What is Google Gemini AI and How to use it?,0.0,neutral
Google One subscription - nearly 3 months lost for trying out Gemini,0.1,positive
Conversational Google Gemini AI Software nears release,0.0,neutral
Where and how can I actually USE Google's Gemini?,0.0,neutral
"Woke vs Realtà , Google si adegua ai deliri del politicamente corretto e sminchia Gemini",0.0,neutral
Google refines Gemini AI model in response to criticism #Business #News #Google #AI #Grafa,0.0,neutral
Google's Gemini AI Demo Video Sparks Controversy and Raises Questions,0.0,neutral
"Google launched Gemini, a ground-breaking initiative that is poised to transform the generative AI space",0.0,neutral
"Even if Gemini Ultra is considered less intelligent and below GPT-4 in performance, Google is gradually eating OpenAI's lunch.",0.3166666666666667,positive
"Want to Know About Google Gemini, a new generative AI platform that recently made its big debut. Check Out this Blog Post.",0.04545454545454545,positive
What happened to Google Gemini AI? Model's release date gets delayed to next year,0.0,neutral
Gemini: Google's most capable AI model yet,0.35,positive
Google 'Apologizes' for Gemini AI Erasing White People,0.0,neutral
Google’s Gemini: Revolutionizing the Generative AI Landscape,0.0,neutral
Google-Samsung partnership sees Gemini power Galaxy S24's AI features,0.0,neutral
Google Launches AI Model Gemini,0.0,neutral
